datetime,open,high,low,close,volume,adj_close
2013-04-28,135.3,135.98,132.1,134.21,154014551.22727272,134.21
2013-04-29,134.44,147.49,134.0,144.54,154014551.22727272,144.54
2013-04-30,144.0,146.93,134.05,139.0,154014551.22727272,139.0
2013-05-01,139.0,139.89,107.72,116.99,154014551.22727272,116.99
2013-05-02,116.38,125.6,92.28,105.21,154014551.22727272,105.21
2013-05-03,106.25,108.13,79.1,97.75,154014551.22727272,97.75
2013-05-04,98.1,115.0,92.5,112.5,154014551.22727272,112.5
2013-05-05,112.9,118.8,107.14,115.91,154014551.22727272,115.91
2013-05-06,115.98,124.66,106.64,112.3,154014551.22727272,112.3
2013-05-07,112.25,113.44,97.7,111.5,154014551.22727272,111.5
2013-05-08,109.6,115.78,109.6,113.57,154014551.22727272,113.57
2013-05-09,113.2,113.46,109.26,112.67,154014551.22727272,112.67
2013-05-10,112.8,122.0,111.55,117.2,154014551.22727272,117.2
2013-05-11,117.7,118.68,113.01,115.24,154014551.22727272,115.24
2013-05-12,115.64,117.45,113.44,115.0,154014551.22727272,115.0
2013-05-13,114.82,118.7,114.5,117.98,154014551.22727272,117.98
2013-05-14,117.98,119.8,110.25,111.5,154014551.22727272,111.5
2013-05-15,111.4,115.81,103.5,114.22,154014551.22727272,114.22
2013-05-16,114.22,118.76,112.2,118.76,154014551.22727272,118.76
2013-05-17,118.21,125.3,116.57,123.02,154014551.22727272,123.02
2013-05-18,123.5,125.25,122.3,123.5,154014551.22727272,123.5
2013-05-19,123.21,124.5,119.57,121.99,154014551.22727272,121.99
2013-05-20,122.5,123.62,120.12,122.0,154014551.22727272,122.0
2013-05-21,122.02,123.0,121.21,122.88,154014551.22727272,122.88
2013-05-22,122.89,124.0,122.0,123.89,154014551.22727272,123.89
2013-05-23,123.8,126.93,123.1,126.7,154014551.22727272,126.7
2013-05-24,126.3,133.85,125.72,133.2,154014551.22727272,133.2
2013-05-25,133.1,133.22,128.9,131.98,154014551.22727272,131.98
2013-05-26,131.99,136.0,130.62,133.48,154014551.22727272,133.48
2013-05-27,133.5,135.47,124.7,129.75,154014551.22727272,129.75
2013-05-28,129.77,130.58,125.6,129.0,154014551.22727272,129.0
2013-05-29,129.0,132.59,127.66,132.3,154014551.22727272,132.3
2013-05-30,132.25,132.25,127.0,128.8,154014551.22727272,128.8
2013-05-31,128.8,129.9,126.4,129.0,154014551.22727272,129.0
2013-06-01,128.81,129.78,127.2,129.3,154014551.22727272,129.3
2013-06-02,129.3,129.4,115.05,122.29,154014551.22727272,122.29
2013-06-03,122.5,122.5,116.0,122.22,154014551.22727272,122.22
2013-06-04,120.74,123.84,119.1,121.42,154014551.22727272,121.42
2013-06-05,121.4,123.47,119.9,121.65,154014551.22727272,121.65
2013-06-06,121.9,123.1,117.25,118.0,154014551.22727272,118.0
2013-06-07,118.97,119.0,106.42,111.5,154014551.22727272,111.5
2013-06-08,111.0,111.42,107.3,108.3,154014551.22727272,108.3
2013-06-09,107.89,108.99,88.5,100.0,154014551.22727272,100.0
2013-06-10,100.44,110.1,95.0,106.35,154014551.22727272,106.35
2013-06-11,106.35,109.6,104.0,108.9,154014551.22727272,108.9
2013-06-12,109.0,111.79,106.73,108.15,154014551.22727272,108.15
2013-06-13,108.78,110.3,100.53,104.0,154014551.22727272,104.0
2013-06-14,103.95,104.7,98.0,99.98,154014551.22727272,99.98
2013-06-15,100.0,103.7,98.0,99.99,154014551.22727272,99.99
2013-06-16,99.8,101.6,98.95,99.51,154014551.22727272,99.51
2013-06-17,99.9,102.21,99.0,101.7,154014551.22727272,101.7
2013-06-18,101.95,111.11,101.03,107.4,154014551.22727272,107.4
2013-06-19,107.05,110.22,105.75,108.25,154014551.22727272,108.25
2013-06-20,108.25,114.3,107.5,110.15,154014551.22727272,110.15
2013-06-21,111.29,114.99,107.69,109.5,154014551.22727272,109.5
2013-06-22,109.5,109.96,107.51,108.3,154014551.22727272,108.3
2013-06-23,108.2,108.8,106.23,107.6,154014551.22727272,107.6
2013-06-24,107.9,108.33,100.98,102.74,154014551.22727272,102.74
2013-06-25,102.09,106.47,101.01,103.95,154014551.22727272,103.95
2013-06-26,103.33,105.49,102.79,104.0,154014551.22727272,104.0
2013-06-27,104.0,104.0,101.1,101.44,154014551.22727272,101.44
2013-06-28,101.74,101.74,92.33,94.65,154014551.22727272,94.65
2013-06-29,94.66,99.99,93.0,94.99,154014551.22727272,94.99
2013-06-30,95.0,98.12,94.22,96.61,154014551.22727272,96.61
2013-07-01,97.51,97.66,86.3,88.05,154014551.22727272,88.05
2013-07-02,88.05,92.3,87.51,90.13,154014551.22727272,90.13
2013-07-03,90.41,90.98,76.98,77.53,154014551.22727272,77.53
2013-07-04,78.89,83.11,72.0,80.53,154014551.22727272,80.53
2013-07-05,79.99,80.0,65.53,68.43,154014551.22727272,68.43
2013-07-06,68.5,75.0,66.82,70.28,154014551.22727272,70.28
2013-07-07,68.75,74.56,66.62,74.56,154014551.22727272,74.56
2013-07-08,76.5,80.0,72.6,76.52,154014551.22727272,76.52
2013-07-09,76.0,78.3,72.52,76.69,154014551.22727272,76.69
2013-07-10,76.72,87.0,76.2,86.76,154014551.22727272,86.76
2013-07-11,88.0,90.28,85.08,88.98,154014551.22727272,88.98
2013-07-12,88.98,104.0,88.17,93.59,154014551.22727272,93.59
2013-07-13,93.99,98.25,88.06,98.13,154014551.22727272,98.13
2013-07-14,98.7,98.7,92.86,94.69,154014551.22727272,94.69
2013-07-15,93.61,101.9,93.11,98.4,154014551.22727272,98.4
2013-07-16,98.89,99.86,96.14,97.45,154014551.22727272,97.45
2013-07-17,96.71,99.97,96.18,98.5,154014551.22727272,98.5
2013-07-18,98.5,98.8,86.2,90.58,154014551.22727272,90.58
2013-07-19,90.07,95.2,87.8,92.17,154014551.22727272,92.17
2013-07-20,92.0,93.1,89.27,89.39,154014551.22727272,89.39
2013-07-21,89.82,91.95,88.0,90.76,154014551.22727272,90.76
2013-07-22,92.0,92.0,90.08,91.61,154014551.22727272,91.61
2013-07-23,91.6,96.82,91.6,95.56,154014551.22727272,95.56
2013-07-24,95.56,95.99,93.0,94.51,154014551.22727272,94.51
2013-07-25,94.5,97.33,93.87,96.9,154014551.22727272,96.9
2013-07-26,96.95,97.47,96.0,96.02,154014551.22727272,96.02
2013-07-27,96.02,97.0,93.0,94.12,154014551.22727272,94.12
2013-07-28,94.4,100.58,94.0,99.76,154014551.22727272,99.76
2013-07-29,98.6,102.5,98.45,101.2,154014551.22727272,101.2
2013-07-30,101.49,107.99,100.47,107.99,154014551.22727272,107.99
2013-07-31,107.95,111.34,103.88,106.09,154014551.22727272,106.09
2013-08-01,106.21,108.0,103.01,104.0,154014551.22727272,104.0
2013-08-02,104.86,108.0,101.21,104.5,154014551.22727272,104.5
2013-08-03,104.5,105.78,102.0,104.0,154014551.22727272,104.0
2013-08-04,104.95,105.95,103.52,105.14,154014551.22727272,105.14
2013-08-05,105.12,107.77,105.0,106.22,154014551.22727272,106.22
2013-08-06,106.72,107.38,105.56,106.75,154014551.22727272,106.75
2013-08-07,106.75,106.75,106.75,106.75,154014551.22727272,106.75
2013-08-08,106.75,106.75,101.26,103.0,154014551.22727272,103.0
2013-08-09,103.07,105.75,101.94,102.8,154014551.22727272,102.8
2013-08-10,102.8,103.9,102.41,103.0,154014551.22727272,103.0
2013-08-11,103.0,105.19,102.75,105.0,154014551.22727272,105.0
2013-08-12,105.0,108.0,103.5,106.64,154014551.22727272,106.64
2013-08-13,106.99,109.35,104.65,109.0,154014551.22727272,109.0
2013-08-14,109.56,115.0,108.0,112.56,154014551.22727272,112.56
2013-08-15,112.56,113.25,109.0,109.99,154014551.22727272,109.99
2013-08-16,110.0,112.3,108.52,108.99,154014551.22727272,108.99
2013-08-17,108.99,113.75,108.22,113.5,154014551.22727272,113.5
2013-08-18,112.75,114.69,112.0,113.5,154014551.22727272,113.5
2013-08-19,113.38,123.06,111.77,119.0,154014551.22727272,119.0
2013-08-20,119.0,123.01,117.51,121.2,154014551.22727272,121.2
2013-08-21,121.21,124.91,119.68,123.3,154014551.22727272,123.3
2013-08-22,123.3,123.5,120.6,121.15,154014551.22727272,121.15
2013-08-23,122.0,122.0,118.44,118.5,154014551.22727272,118.5
2013-08-24,118.51,121.39,118.02,120.05,154014551.22727272,120.05
2013-08-25,119.6,122.99,119.17,122.11,154014551.22727272,122.11
2013-08-26,122.11,122.75,119.93,120.06,154014551.22727272,120.06
2013-08-27,120.07,127.24,120.07,126.5,154014551.22727272,126.5
2013-08-28,126.48,127.32,122.62,122.62,154014551.22727272,122.62
2013-08-29,122.62,123.7,122.21,122.39,154014551.22727272,122.39
2013-08-30,122.35,135.75,120.99,133.49,154014551.22727272,133.49
2013-08-31,133.09,140.89,132.72,135.35,154014551.22727272,135.35
2013-09-01,135.14,145.81,134.81,138.34,154014551.22727272,138.34
2013-09-02,138.63,146.5,134.89,135.85,154014551.22727272,135.85
2013-09-03,135.61,138.34,133.0,136.77,154014551.22727272,136.77
2013-09-04,136.53,144.5,123.61,126.74,154014551.22727272,126.74
2013-09-05,126.76,131.44,121.83,126.43,154014551.22727272,126.43
2013-09-06,126.49,127.34,119.15,119.15,154014551.22727272,119.15
2013-09-07,118.89,125.94,118.46,124.15,154014551.22727272,124.15
2013-09-08,124.13,124.72,120.49,121.66,154014551.22727272,121.66
2013-09-09,121.86,129.06,119.75,127.11,154014551.22727272,127.11
2013-09-10,127.27,129.74,125.9,125.91,154014551.22727272,125.91
2013-09-11,125.89,137.83,123.27,135.25,154014551.22727272,135.25
2013-09-12,135.55,136.08,131.81,133.13,154014551.22727272,133.13
2013-09-13,132.83,137.58,132.27,134.98,154014551.22727272,134.98
2013-09-14,135.01,135.85,128.87,129.22,154014551.22727272,129.22
2013-09-15,129.4,131.44,128.26,130.37,154014551.22727272,130.37
2013-09-16,130.86,132.72,129.77,131.72,154014551.22727272,131.72
